player_full_name,active_flag,team,age,signing_team,type,extension,arb_elig,arb_req,clause,signing,expiry,salary,base_salary,minors,s_bonus,p_bonus,drafted,draft_round,draft_pick,draft_year,draft_team,signing_age,signing_date,length,exp_year,years_left,cap_hit,cap_hit_format,cap_hit_%,aav,aav_format,etl_insert_ts
Nathan MacKinnon,1,COL,28,COL,Standard (1-way),1,0,0,NMC,UFA,UFA,"$16,500,000","$775,000","$16,500,000","$15,725,000",$0,1 - Round 1 - 2013 (COL),1,1,2013,COL,27,"Sep. 20, 2022",8,2031,8,"$12,600,000",$12.60M,15.30%,"$12,600,000",$12.60M,9/30/2023 22:54
David Pastrnak,1,BOS,27,BOS,Standard (1-way),1,0,0,NMC,UFA,UFA,"$13,000,000","$8,500,000","$13,000,000","$4,500,000",$0,25 - Round 1 - 2014 (BOS),25,1,2014,BOS,27,"Mar. 2, 2023",8,2031,8,"$11,250,000",$11.25M,13.60%,"$11,250,000",$11.25M,9/30/2023 22:59
Jonathan Huberdeau,1,CGY,30,CGY,Standard (1-way),1,0,0,NMC,UFA,UFA,"$10,500,000","$3,500,000","$10,500,000","$7,000,000",$0,3 - Round 1 - 2011 (FLA),3,1,2011,FLA,30,"Aug. 4, 2022",8,2031,8,"$10,500,000",$10.50M,12.70%,"$10,500,000",$10.50M,9/30/2023 22:59
Timo Meier,1,NJD,26,NJD,Standard (1-way),1,1,1,,RFA,UFA,"$12,000,000","$6,000,000","$12,000,000","$6,000,000",$0,9 - Round 1 - 2015 (SJS),9,1,2015,SJS,26,"Jun. 28, 2023",8,2031,8,"$8,800,000",$8.80M,10.50%,"$8,800,000",$8.80M,9/30/2023 22:54
Michael Anderson,1,LAK,24,LAK,Standard (1-way),1,1,0,,RFA,UFA,"$3,600,000","$1,600,000","$3,600,000","$2,000,000",$0,103 - Round 4 - 2017 (LAK),103,4,2017,LAK,24,"Feb. 15, 2023",8,2031,8,"$4,125,000",$4.12M,5.00%,"$4,125,000",$4.12M,9/30/2023 22:54
Dylan Larkin,1,DET,27,DET,Standard (1-way),1,0,0,NTC,UFA,UFA,"$10,000,000","$10,000,000","$10,000,000",$0,$0,15 - Round 1 - 2014 (DET),15,1,2014,DET,26,"Mar. 1, 2023",8,2031,8,"$8,700,000",$8.70M,10.50%,"$8,700,000",$8.70M,9/30/2023 22:54
Mikhail Sergachev,1,TBL,25,TBL,Standard (1-way),1,1,0,,RFA,UFA,"$11,050,000","$4,550,000","$11,050,000","$6,500,000",$0,9 - Round 1 - 2016 (MTL),9,1,2016,MTL,25,"Jul. 13, 2022",8,2031,8,"$8,500,000",$8.50M,10.30%,"$8,500,000",$8.50M,9/30/2023 22:54
Pierre-Luc Dubois,1,LAK,25,WPG,Standard (1-way),1,1,0,,RFA,UFA,"$9,000,000","$1,000,000","$9,000,000","$8,000,000",$0,3 - Round 1 - 2016 (CBJ),3,1,2016,CBJ,25,"Jun. 27, 2023",8,2031,8,"$8,500,000",$8.50M,10.20%,"$8,500,000",$8.50M,9/30/2023 22:54
Cole Caufield,1,MTL,22,MTL,Standard (1-way),1,0,0,,RFA,UFA,"$9,975,000","$4,975,000","$9,975,000","$5,000,000",$0,15 - Round 1 - 2019 (MTL),15,1,2019,MTL,22,"Jun. 5, 2023",8,2031,8,"$7,850,000",$7.85M,9.50%,"$7,850,000",$7.85M,9/30/2023 22:59
Bo Horvat,1,NYI,28,NYI,Standard (1-way),1,0,0,NTC,UFA,UFA,"$8,500,000","$8,500,000","$8,500,000",$0,$0,9 - Round 1 - 2013 (VAN),9,1,2013,VAN,28,"Feb. 5, 2023",8,2031,8,"$8,500,000",$8.50M,10.30%,"$8,500,000",$8.50M,9/30/2023 22:54
